billing_id,customer_id,tenure,monthly_charges,total_charges
979,7590-VHVEG,1,29.85,29.85
980,5575-GNVDE,34,56.95,1889.5
981,3668-QPYBK,2,53.85,108.15
982,7795-CFOCW,45,42.3,1840.75
983,9237-HQITU,2,70.7,151.65
984,9305-CDSKC,8,99.65,820.5
985,1452-KIOVK,22,89.1,1949.4
986,6713-OKOMC,10,29.75,301.9
987,7892-POOKP,28,104.8,3046.05
988,6388-TABGU,62,56.15,3487.95
989,9763-GRSKD,13,49.95,587.45
990,7469-LKBCI,16,18.95,326.8
991,8091-TTVAX,58,100.35,5681.1
992,0280-XJGEX,49,103.7,5036.3
993,5129-JLPIS,25,105.5,2686.05
994,3655-SNQYZ,69,113.25,7895.15
995,8191-XWSZG,52,20.65,1022.95
996,9959-WOFKT,71,106.7,7382.25
997,4190-MFLUW,10,55.2,528.35
998,4183-MYFRB,21,90.05,1862.9
999,8779-QRDMV,1,39.65,39.65
1000,1680-VDCWW,12,19.8,202.25
1001,1066-JKSGK,1,20.15,20.15
1002,3638-WEABW,58,59.9,3505.1
1003,6322-HRPFA,49,59.6,2970.3
1004,6865-JZNKO,30,55.3,1530.6
1005,6467-CHFZW,47,99.35,4749.15
1006,8665-UTDHZ,1,30.2,30.2
1007,5248-YGIJN,72,90.25,6369.45
1008,8773-HHUOZ,17,64.7,1093.1
1009,3841-NFECX,71,96.35,6766.95
1010,4929-XIHVW,2,95.5,181.65
1011,6827-IEAUQ,27,66.15,1874.45
1012,7310-EGVHZ,1,20.2,20.2
1013,3413-BMNZE,1,45.25,45.25
1014,6234-RAAPL,72,99.9,7251.7
1015,6047-YHPVI,5,69.7,316.9
1016,6572-ADKRS,46,74.8,3548.3
1017,5380-WJKOV,34,106.35,3549.25
1018,8168-UQWWF,11,97.85,1105.4
1019,8865-TNMNX,10,49.55,475.7
1020,9489-DEDVP,70,69.2,4872.35
1021,9867-JCZSP,17,20.75,418.25
1022,4671-VJLCL,63,79.85,4861.45
1023,4080-IIARD,13,76.2,981.45
1024,3714-NTNFO,49,84.5,3906.7
1025,5948-UJZLF,2,49.25,97
1026,7760-OYPDY,2,80.65,144.15
1027,7639-LIAYI,52,79.75,4217.8
1028,2954-PIBKO,69,64.15,4254.1
1029,8012-SOUDQ,43,90.25,3838.75
1030,9420-LOJKX,15,99.1,1426.4
1031,6575-SUVOI,25,69.5,1752.65
1032,7495-OOKFY,8,80.65,633.3
1033,4667-QONEA,60,74.85,4456.35
1034,1658-BYGOY,18,95.45,1752.55
1035,8769-KKTPH,63,99.65,6311.2
1036,5067-XJQFU,66,108.45,7076.35
1037,3957-SQXML,34,24.95,894.3
1038,5954-BDFSG,72,107.5,7853.7
1039,0434-CSFON,47,100.5,4707.1
1040,1215-FIGMP,60,89.9,5450.7
1041,0526-SXDJP,72,42.1,2962
1042,0557-ASKVU,18,54.4,957.1
1043,5698-BQJOH,9,94.4,857.25
1044,5122-CYFXA,3,75.3,244.1
1045,8627-ZYGSZ,47,78.9,3650.35
1046,3410-YOQBQ,31,79.2,2497.2
1047,3170-NMYVV,50,20.15,930.9
1048,7410-OIEDU,10,79.85,887.35
1049,2273-QCKXA,1,49.05,49.05
1050,0731-EBJQB,52,20.4,1090.65
1051,1891-QRQSA,64,111.6,7099
1052,8028-PNXHQ,62,24.25,1424.6
1053,5630-AHZIL,3,64.5,177.4
1054,2673-CXQEU,56,110.5,6139.5
1055,6416-JNVRK,46,55.65,2688.85
1056,5590-ZSKRV,8,54.65,482.25
1057,0191-ZHSKZ,30,74.75,2111.3
1058,3887-PBQAO,45,25.9,1216.6
1059,5919-TMRGD,1,79.35,79.35
1060,8108-UXRQN,11,50.55,565.35
1061,9191-MYQKX,7,75.15,496.9
1062,9919-YLNNG,42,103.8,4327.5
1063,0318-ZOPWS,49,20.15,973.35
1064,4445-ZJNMU,9,99.3,918.75
1065,4808-YNLEU,35,62.15,2215.45
1066,1862-QRWPE,48,20.65,1057
1067,2796-NNUFI,46,19.95,927.1
1068,3016-KSVCP,29,33.75,1009.25
1069,4767-HZZHQ,30,82.05,2570.2
1070,2424-WVHPL,1,74.7,74.7
1071,7233-PAHHL,66,84,5714.25
1072,6067-NGCEU,65,111.05,7107
1073,9848-JQJTX,72,100.9,7459.05
1074,8637-XJIVR,12,78.95,927.35
1075,9803-FTJCG,71,66.85,4748.7
1076,0278-YXOOG,5,21.05,113.85
1077,3212-KXOCR,52,21,1107.2
1078,4598-XLKNJ,25,98.5,2514.5
1079,6380-ARCEH,1,20.2,20.2
1080,3679-XASPY,1,19.45,19.45
1081,7123-WQUHX,38,95,3605.6
1082,5386-THSLQ,66,45.55,3027.25
1083,3192-NQECA,68,110,7611.85
1084,6180-YBIQI,5,24.3,100.2
1085,6728-DKUCO,72,104.15,7303.05
1086,9750-BOOHV,32,30.15,927.65
1087,8597-CWYHH,43,94.35,3921.3
1088,2848-YXSMW,72,19.4,1363.25
1089,0486-HECZI,55,96.75,5238.9
1090,4549-ZDQYY,52,57.95,3042.25
1091,5712-AHQNN,43,91.65,3954.1
1092,4846-WHAFZ,37,76.5,2868.15
1093,5256-SKJGO,64,54.6,3423.5
1094,3071-VBYPO,3,89.85,248.4
1095,9560-BBZXK,36,31.05,1126.35
1096,5299-RULOA,10,100.25,1064.65
1097,8402-OOOHJ,41,20.65,835.15
1098,9445-ZUEQE,27,85.2,2151.6
1099,1091-SOZGA,56,99.8,5515.45
1100,2928-HLDBA,6,20.7,112.75
1101,0404-SWRVG,3,74.4,229.55
1102,6497-TILVL,7,50.7,350.35
1103,7219-TLZHO,4,20.85,62.9
1104,4622-YNKIJ,33,88.95,3027.65
1105,4412-YLTKF,27,78.05,2135.5
1106,6734-PSBAW,72,23.55,1723.95
1107,3930-ZGWVE,1,19.75,19.75
1108,2639-UGMAZ,71,56.45,3985.35
1109,2876-GZYZC,13,85.95,1215.65
1110,6207-WIOLX,25,58.6,1502.65
1111,8587-XYZSF,67,50.55,3260.1
1112,3091-FYHKI,1,35.45,35.45
1113,2372-HWUHI,2,44.35,81.25
1114,7799-LGRDP,43,25.7,1188.2
1115,7850-VWJUU,23,75,1778.5
1116,3774-VBNXY,64,20.2,1277.75
1117,6217-KDYWC,57,19.6,1170.55
1118,0390-DCFDQ,1,70.45,70.45
1119,3146-MSEGF,72,88.05,6425.65
1120,4080-OGPJL,8,71.15,563.65
1121,1095-WGNGG,61,101.05,5971.25
1122,2636-SJDOU,64,84.3,5289.05
1123,1131-QQZEB,71,23.95,1756.2
1124,5716-EZXZN,65,99.05,6416.7
1125,6837-BJYDQ,3,19.6,61.35
1126,2135-RXIHG,1,45.65,45.65
1127,6440-DKQGE,30,64.5,1929.95
1128,3466-BYAVD,15,69.5,1071.4
1129,3780-YVMFA,8,68.55,564.35
1130,3874-EQOEP,7,95,655.5
1131,1679-JRFBR,70,108.15,7930.55
1132,9073-ZZIAY,62,86.1,5215.25
1133,3077-RSNTJ,6,19.7,113.5
1134,6551-GNYDG,14,80.9,1152.8
1135,9167-APMXZ,22,84.15,1821.95
1136,2749-CTKAJ,22,20.15,419.9
1137,6371-NZYEG,16,64.25,1024
1138,7554-NEWDD,10,25.7,251.6
1139,8992-VONJD,13,56,764.55
1140,0867-MKZVY,20,82.4,1592.35
1141,4482-EWFMI,2,69.7,135.2
1142,4648-YPBTM,53,73.9,3958.25
1143,2907-ILJBN,11,20.6,233.9
1144,6345-FZOQH,69,19.9,1363.45
1145,3376-BMGFE,4,70.9,273
1146,5997-OPVFA,72,89.05,6254.45
1147,3445-HXXGF,58,45.3,2651.2
1148,1159-WFSGR,16,20.4,321.4
1149,7654-YWJUF,43,84.25,3539.25
1150,1875-QIVME,2,104.4,242.8
1151,6727-IOTLZ,14,81.95,1181.75
1152,0691-JVSYA,53,94.85,5000.2
1153,5918-VUKWP,32,20.55,654.55
1154,1744-JHKYS,34,24.7,780.2
1155,2656-FMOKZ,15,74.45,1145.7
1156,2070-FNEXE,7,76.45,503.6
1157,5947-SGKCL,15,105.35,1559.25
1158,3712-PKXZA,61,20.55,1252
1159,6317-YPKDH,1,29.95,29.95
1160,6582-OIVSP,1,45.3,45.3
1161,9367-WXLCH,8,84.5,662.65
1162,5524-KHNJP,33,74.75,2453.3
1163,1918-ZBFQJ,13,79.25,1111.65
1164,1024-GUALD,1,24.8,24.8
1165,4827-USJHP,20,51.8,1023.85
