churn_id,customer_id,churn
1,7590-VHVEG,No
2,5575-GNVDE,No
3,3668-QPYBK,Yes
4,7795-CFOCW,No
5,9237-HQITU,Yes
6,9305-CDSKC,Yes
7,1452-KIOVK,No
8,6713-OKOMC,No
9,7892-POOKP,Yes
10,6388-TABGU,No
11,9763-GRSKD,No
12,7469-LKBCI,No
13,8091-TTVAX,No
14,0280-XJGEX,Yes
15,5129-JLPIS,No
16,3655-SNQYZ,No
17,8191-XWSZG,No
18,9959-WOFKT,No
19,4190-MFLUW,Yes
20,4183-MYFRB,No
21,8779-QRDMV,Yes
22,1680-VDCWW,No
23,1066-JKSGK,Yes
24,3638-WEABW,No
25,6322-HRPFA,No
26,6865-JZNKO,No
27,6467-CHFZW,Yes
28,8665-UTDHZ,Yes
29,5248-YGIJN,No
30,8773-HHUOZ,Yes
31,3841-NFECX,No
32,4929-XIHVW,No
33,6827-IEAUQ,No
34,7310-EGVHZ,No
35,3413-BMNZE,No
36,6234-RAAPL,No
37,6047-YHPVI,Yes
38,6572-ADKRS,No
39,5380-WJKOV,Yes
40,8168-UQWWF,Yes
41,8865-TNMNX,No
42,9489-DEDVP,No
43,9867-JCZSP,No
44,4671-VJLCL,No
45,4080-IIARD,No
46,3714-NTNFO,No
47,5948-UJZLF,No
48,7760-OYPDY,Yes
49,7639-LIAYI,No
50,2954-PIBKO,No
51,8012-SOUDQ,No
52,9420-LOJKX,Yes
53,6575-SUVOI,No
54,7495-OOKFY,Yes
55,4667-QONEA,No
56,1658-BYGOY,Yes
57,8769-KKTPH,No
58,5067-XJQFU,No
59,3957-SQXML,No
60,5954-BDFSG,No
61,0434-CSFON,No
62,1215-FIGMP,No
63,0526-SXDJP,No
64,0557-ASKVU,No
65,5698-BQJOH,Yes
66,5122-CYFXA,No
67,8627-ZYGSZ,No
68,3410-YOQBQ,No
69,3170-NMYVV,No
70,7410-OIEDU,No
71,2273-QCKXA,No
72,0731-EBJQB,No
73,1891-QRQSA,No
74,8028-PNXHQ,No
75,5630-AHZIL,No
76,2673-CXQEU,No
77,6416-JNVRK,No
78,5590-ZSKRV,No
79,0191-ZHSKZ,No
80,3887-PBQAO,No
81,5919-TMRGD,Yes
82,8108-UXRQN,No
83,9191-MYQKX,Yes
84,9919-YLNNG,No
85,0318-ZOPWS,No
86,4445-ZJNMU,No
87,4808-YNLEU,No
88,1862-QRWPE,No
89,2796-NNUFI,No
90,3016-KSVCP,No
91,4767-HZZHQ,No
92,2424-WVHPL,No
93,7233-PAHHL,No
94,6067-NGCEU,No
95,9848-JQJTX,No
96,8637-XJIVR,Yes
97,9803-FTJCG,No
98,0278-YXOOG,Yes
99,3212-KXOCR,No
100,4598-XLKNJ,Yes
101,6380-ARCEH,No
102,3679-XASPY,No
103,7123-WQUHX,No
104,5386-THSLQ,No
105,3192-NQECA,Yes
106,6180-YBIQI,No
107,6728-DKUCO,No
108,9750-BOOHV,No
109,8597-CWYHH,No
110,2848-YXSMW,No
111,0486-HECZI,Yes
112,4549-ZDQYY,No
113,5712-AHQNN,No
114,4846-WHAFZ,Yes
115,5256-SKJGO,No
116,3071-VBYPO,No
117,9560-BBZXK,No
118,5299-RULOA,Yes
119,8402-OOOHJ,No
120,9445-ZUEQE,No
121,1091-SOZGA,No
122,2928-HLDBA,No
123,0404-SWRVG,Yes
124,6497-TILVL,No
125,7219-TLZHO,No
126,4622-YNKIJ,No
127,4412-YLTKF,Yes
128,6734-PSBAW,No
129,3930-ZGWVE,No
130,2639-UGMAZ,No
131,2876-GZYZC,No
132,6207-WIOLX,Yes
133,8587-XYZSF,No
134,3091-FYHKI,Yes
135,2372-HWUHI,Yes
136,7799-LGRDP,No
137,7850-VWJUU,No
138,3774-VBNXY,No
139,6217-KDYWC,No
140,0390-DCFDQ,Yes
141,3146-MSEGF,No
142,4080-OGPJL,Yes
143,1095-WGNGG,No
144,2636-SJDOU,No
145,1131-QQZEB,No
146,5716-EZXZN,No
147,6837-BJYDQ,No
148,2135-RXIHG,Yes
149,6440-DKQGE,No
150,3466-BYAVD,No
151,3780-YVMFA,No
152,3874-EQOEP,Yes
153,1679-JRFBR,No
154,9073-ZZIAY,No
155,3077-RSNTJ,No
156,6551-GNYDG,No
157,9167-APMXZ,No
158,2749-CTKAJ,No
159,6371-NZYEG,No
160,7554-NEWDD,No
161,8992-VONJD,No
162,0867-MKZVY,Yes
163,4482-EWFMI,No
164,4648-YPBTM,No
165,2907-ILJBN,No
166,6345-FZOQH,No
167,3376-BMGFE,Yes
168,5997-OPVFA,No
169,3445-HXXGF,Yes
170,1159-WFSGR,No
171,7654-YWJUF,No
172,1875-QIVME,Yes
173,6727-IOTLZ,No
174,0691-JVSYA,Yes
175,5918-VUKWP,No
176,1744-JHKYS,No
177,2656-FMOKZ,Yes
178,2070-FNEXE,Yes
179,5947-SGKCL,No
180,3712-PKXZA,No
181,6317-YPKDH,Yes
182,6582-OIVSP,No
183,9367-WXLCH,Yes
184,5524-KHNJP,No
185,1918-ZBFQJ,Yes
186,1024-GUALD,Yes
187,4827-USJHP,No
188,8167-GJLRN,No
189,0956-SYCWG,No
190,8017-UVSZU,No
191,7100-FQPRV,No
192,2472-OVKUP,Yes
193,2984-RGEYA,No
194,9680-NIAUV,No
195,2146-EGVDT,No
196,2604-IJPDU,No
197,9178-JHUVJ,No
198,6168-YBYNP,No
199,7255-SSFBC,No
200,3645-DEYGF,No
201,9323-HGFWY,No
202,8544-GOQSH,No
203,3363-DTIVD,No
204,7018-WBJNK,No
205,9142-KZXOP,No
206,7674-YTAFD,No
207,6348-SNFUS,No
208,1285-OKIPP,Yes
209,7825-ECJRF,Yes
210,1347-KTTTA,No
211,7841-TZDMQ,Yes
212,4195-NZGTA,No
213,7157-SMCFK,No
214,4709-LKHYG,No
215,2504-DSHIH,No
216,0699-NDKJM,No
217,9286-BHDQG,No
218,0230-WEQUW,No
219,2040-LDIWQ,No
220,6496-JDSSB,No
221,9408-SSNVZ,Yes
222,4443-EMBNA,No
223,6469-MRVET,No
224,0742-MOABM,Yes
225,5961-VUSRV,No
226,6778-JFCMK,No
227,6341-JVQGF,No
228,2232-DMLXU,Yes
229,4811-JBUVU,No
230,0945-TSONX,No
231,2651-ZCBXV,No
232,3316-UWXUY,No
233,8937-RDTHP,Yes
234,7083-MIOPC,No
235,1984-GPTEH,No
236,1251-KRREG,Yes
237,0621-JFHOL,No
238,9903-LYSAB,No
239,0094-OIFMO,Yes
240,9227-UAQFT,No
241,7301-ABVAD,No
242,6614-FHDBO,No
243,7576-ASEJU,No
244,9058-HRZSV,No
245,4522-AKYLR,No
246,0221-WMXNQ,No
247,0303-UNCIP,No
248,9947-OTFQU,Yes
249,0322-YINQP,Yes
250,0959-WHOKV,No
251,4075-JFPGR,No
252,4629-NRXKX,Yes
253,9514-JDSKI,Yes
254,3282-ZISZV,No
255,3675-YDUPJ,No
256,4111-BNXIF,No
257,7017-VFHAY,No
258,6655-LHBYW,No
259,4959-JOSRX,Yes
260,5046-NUHWD,No
261,7273-TEFQD,Yes
262,3606-TWKGI,Yes
263,7529-ZDFXI,No
264,7605-BDWDC,No
265,1950-KSVVJ,No
266,0123-CRBRT,No
267,6292-TOSSS,No
268,3197-ARFOY,No
269,6323-AYBRX,Yes
270,7014-ZZXAW,No
271,4385-GZQXV,Yes
272,7633-MVPUY,No
273,6366-ZGQGL,Yes
274,4716-HHKQH,No
275,5940-AHUHD,Yes
276,6432-TWQLB,Yes
277,4484-GLZOU,Yes
278,3179-GBRWV,No
279,8645-KWHJO,No
280,4130-MZLCC,No
281,0314-TKOSI,No
282,8229-MYEJZ,No
283,2080-SRCDE,No
284,9577-WJVCQ,No
285,9512-UIBFX,Yes
286,6202-DYYFX,No
287,3808-HFKDE,No
288,5583-SXDAG,Yes
289,3488-PGMQJ,Yes
290,3580-REOAC,Yes
291,7534-BFESC,Yes
292,3727-OWVYD,No
293,2294-SALNE,No
294,4847-TAJYI,No
295,1563-IWQEX,No
296,8203-XJZRC,No
297,6556-DBKZF,No
298,6851-WEFYX,No
299,2985-JUUBZ,No
300,6390-DSAZX,Yes
301,0895-LMRSF,No
302,8098-LLAZX,Yes
303,8266-VBFQL,No
304,8181-YHCMF,No
305,2240-HSJQD,No
306,1248-DYXUB,No
307,0265-EDXBD,Yes
308,4115-BNPJY,No
309,3167-SNQPL,No
310,4091-TVOCN,No
311,1098-TDVUQ,No
312,7277-OZCGZ,No
313,1557-EMYVT,No
314,2799-ARNLO,No
315,7563-BIUPC,Yes
316,5027-YOCXN,No
317,3973-SKMLN,No
318,2321-OMBXY,Yes
319,2840-XANRC,Yes
320,6745-JEFZB,No
321,5020-ZSTTY,Yes
322,9880-TDQAC,No
323,8705-WZCYL,No
324,7102-JJVTX,No
325,8626-PTQGE,No
326,4983-CLMLV,No
327,5701-YVSVF,No
328,5804-LEPIM,Yes
329,5697-GOMBF,No
330,2739-CACDQ,No
331,9385-EHGDO,No
332,9498-FIMXL,No
333,2379-GYFLQ,No
334,0122-OAHPZ,Yes
335,2868-SNELZ,Yes
336,4322-RCYMT,Yes
337,6680-NENYN,Yes
338,2088-IEBAU,No
339,7982-VCELR,No
340,1343-EHPYB,Yes
341,6035-BXTTY,No
342,6885-PKOAM,No
343,7520-HQWJU,No
344,9639-BUJXT,No
345,5924-SNGKP,No
346,0021-IKXGC,No
347,2034-GDRCN,Yes
348,8966-SNIZF,No
349,6243-OZGFH,No
350,4654-DLAMQ,No
351,0513-RBGPE,No
352,5160-UXJED,No
353,4115-NZRKS,No
354,0219-YTZUE,Yes
355,0623-IIHUG,Yes
356,4572-DVCGN,Yes
357,3351-NGXYI,No
358,8984-EYLLL,No
359,9057-MSWCO,Yes
360,9833-TGFHX,No
361,9294-TDIPC,No
362,5229-DTFYB,No
363,0104-PPXDV,No
364,5176-LMJXE,No
365,3583-KRKMD,No
366,1010-DIAUQ,Yes
367,9069-LGEUL,No
368,7302-ZHMHP,No
369,9571-EDEBV,No
370,3520-FJGCV,No
371,6563-VRERX,No
372,0259-GBZSH,Yes
373,6122-EFVKN,No
374,2805-EDJPQ,No
375,6862-CQUMB,No
376,7156-MXBJE,No
377,6158-HDPXZ,No
378,9601-BRXPO,Yes
379,2863-IMQDR,No
380,5686-CMAWK,No
381,5651-CRHKQ,No
382,6905-NIQIN,Yes
383,8204-YJCLA,No
384,5167-ZFFMM,Yes
385,6583-SZVGP,No
386,4895-TMWIR,Yes
387,0533-BNWKF,Yes
388,1708-PBBOA,No
389,8782-LKFPK,No
390,5522-JBWMO,No
391,3597-MVHJT,No
392,9774-NRNAU,No
393,0224-RLWWD,No
394,9967-ATRFS,No
395,3951-NJCVI,No
396,2977-CEBSX,No
397,0177-PXBAT,No
398,6599-CEBNN,Yes
399,2519-ERQOJ,No
400,5876-QMYLD,No
401,2277-AXSDC,No
402,9442-JTWDL,No
403,0979-PHULV,Yes
404,3067-SVMTC,No
405,5495-GPSRW,No
406,7606-BPHHN,No
407,4742-DRORA,No
408,0111-KLBQG,No
409,4800-VHZKI,Yes
410,7989-CHGTL,Yes
411,0334-GDDSO,Yes
412,4163-NCJAK,No
413,5233-AOZUF,No
414,5973-EJGDP,No
415,1996-DBMUS,No
416,7916-VCCPB,No
417,4686-GEFRM,No
418,5249-QYHEX,No
419,0578-SKVMF,Yes
420,5564-NEMQO,Yes
421,2233-FAGXV,No
422,5605-IYGFG,No
423,7663-ZTEGJ,No
424,3935-TBRZZ,No
425,8111-BKVDS,No
426,2055-SIFSS,No
427,2806-MLNTI,No
428,8734-DKSTZ,No
429,4360-PNRQB,No
430,6152-ONASV,No
431,9063-ZGTUY,Yes
432,7781-HVGMK,No
433,2181-UAESM,No
434,2957-LOLHO,Yes
435,6048-NJXHX,No
436,2320-SLKMB,No
437,4980-URKXC,No
438,4376-KFVRS,No
439,5886-VLQVU,No
440,3577-AMVUX,No
441,0771-WLCLA,No
442,5628-RKIFK,No
443,0206-TBWLC,No
444,2937-FTHUR,No
445,1910-FMXJM,No
446,7752-XUSCI,Yes
447,4110-PFEUZ,Yes
448,0732-OCQOC,No
449,5168-MSWXT,No
450,1090-ESELR,No
451,8592-PLTMQ,No
452,5760-WRAHC,No
453,8847-GEOOQ,No
454,0256-LTHVJ,Yes
455,4785-FCIFB,No
456,8313-NDOIA,No
457,5149-CUZUJ,No
458,0942-KOWSM,No
459,4237-CLSMM,No
460,1452-VOQCH,No
461,4719-UMSIY,No
462,6614-VBEGU,No
463,0880-TKATG,Yes
464,3811-VBYBZ,Yes
465,1480-BKXGA,No
466,2996-XAUVF,No
467,9076-AXYIK,No
468,5968-XQIVE,No
469,8896-RAZCR,No
470,4640-UHDOS,Yes
471,4933-IKULF,No
472,3583-EKAPL,Yes
473,1304-BCCFO,No
474,4104-PVRPS,No
475,9399-APLBT,Yes
476,2359-KMGLI,Yes
477,3780-DDGSE,No
478,4431-EDMIQ,No
479,0306-JAELE,Yes
480,6227-HWPWX,Yes
481,0486-LGCCH,No
482,0447-BEMNG,Yes
483,4612-SSVHJ,No
484,5168-MQQCA,No
485,5949-XIKAE,Yes
486,7971-HLVXI,No
487,9094-AZPHK,No
