contract_id,customer_id,contract_type,paperless_billing,payment_method
7044,7590-VHVEG,Month-to-month,Yes,Electronic check
7045,5575-GNVDE,One year,No,Mailed check
7046,3668-QPYBK,Month-to-month,Yes,Mailed check
7047,7795-CFOCW,One year,No,Bank transfer (automatic)
7048,9237-HQITU,Month-to-month,Yes,Electronic check
7049,9305-CDSKC,Month-to-month,Yes,Electronic check
7050,1452-KIOVK,Month-to-month,Yes,Credit card (automatic)
7051,6713-OKOMC,Month-to-month,No,Mailed check
7052,7892-POOKP,Month-to-month,Yes,Electronic check
7053,6388-TABGU,One year,No,Bank transfer (automatic)
7054,9763-GRSKD,Month-to-month,Yes,Mailed check
7055,7469-LKBCI,Two year,No,Credit card (automatic)
7056,8091-TTVAX,One year,No,Credit card (automatic)
7057,0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic)
7058,5129-JLPIS,Month-to-month,Yes,Electronic check
7059,3655-SNQYZ,Two year,No,Credit card (automatic)
7060,8191-XWSZG,One year,No,Mailed check
7061,9959-WOFKT,Two year,No,Bank transfer (automatic)
7062,4190-MFLUW,Month-to-month,No,Credit card (automatic)
7063,4183-MYFRB,Month-to-month,Yes,Electronic check
7064,8779-QRDMV,Month-to-month,Yes,Electronic check
7065,1680-VDCWW,One year,No,Bank transfer (automatic)
7066,1066-JKSGK,Month-to-month,No,Mailed check
7067,3638-WEABW,Two year,Yes,Credit card (automatic)
7068,6322-HRPFA,Month-to-month,No,Credit card (automatic)
7069,6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic)
7070,6467-CHFZW,Month-to-month,Yes,Electronic check
7071,8665-UTDHZ,Month-to-month,No,Electronic check
7072,5248-YGIJN,Two year,Yes,Credit card (automatic)
7073,8773-HHUOZ,Month-to-month,Yes,Mailed check
7074,3841-NFECX,Two year,Yes,Credit card (automatic)
7075,4929-XIHVW,Month-to-month,Yes,Credit card (automatic)
7076,6827-IEAUQ,One year,No,Mailed check
7077,7310-EGVHZ,Month-to-month,No,Bank transfer (automatic)
7078,3413-BMNZE,Month-to-month,No,Bank transfer (automatic)
7079,6234-RAAPL,Two year,No,Bank transfer (automatic)
7080,6047-YHPVI,Month-to-month,Yes,Electronic check
7081,6572-ADKRS,Month-to-month,Yes,Credit card (automatic)
7082,5380-WJKOV,Month-to-month,Yes,Electronic check
7083,8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic)
7084,8865-TNMNX,One year,No,Mailed check
7085,9489-DEDVP,Two year,Yes,Credit card (automatic)
7086,9867-JCZSP,One year,No,Mailed check
7087,4671-VJLCL,Two year,Yes,Credit card (automatic)
7088,4080-IIARD,Month-to-month,Yes,Electronic check
7089,3714-NTNFO,Month-to-month,Yes,Electronic check
7090,5948-UJZLF,Month-to-month,No,Mailed check
7091,7760-OYPDY,Month-to-month,Yes,Electronic check
7092,7639-LIAYI,Two year,Yes,Credit card (automatic)
7093,2954-PIBKO,Two year,Yes,Credit card (automatic)
7094,8012-SOUDQ,Month-to-month,Yes,Electronic check
7095,9420-LOJKX,Month-to-month,Yes,Credit card (automatic)
7096,6575-SUVOI,Month-to-month,Yes,Credit card (automatic)
7097,7495-OOKFY,Month-to-month,Yes,Credit card (automatic)
7098,4667-QONEA,One year,Yes,Credit card (automatic)
7099,1658-BYGOY,Month-to-month,Yes,Electronic check
