service_id,customer_id,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
1,7590-VHVEG,No,No phone service,DSL,No,Yes,No,No,No,No
2,5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No
3,3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No
4,7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
5,9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No
6,9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7,1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
8,6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No
9,7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
10,6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No
11,9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No
12,7469-LKBCI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
13,8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14,0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
15,5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
16,3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
17,8191-XWSZG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
18,9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
19,4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No
20,4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
21,8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes
22,1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
23,1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
24,3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No
25,6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No
26,6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No
27,6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
28,8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No
29,5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
30,8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes
31,3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
32,4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
33,6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
34,7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
35,3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No
36,6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
37,6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No
38,6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No
39,5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
40,8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
41,8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No
42,9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No
43,9867-JCZSP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
44,4671-VJLCL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
45,4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No
46,3714-NTNFO,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
47,5948-UJZLF,Yes,No,DSL,No,Yes,No,No,No,No
48,7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No
49,7639-LIAYI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes
50,2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
51,8012-SOUDQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
52,9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
53,6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
54,7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
55,4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
56,1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
57,8769-KKTPH,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
58,5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
59,3957-SQXML,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
60,5954-BDFSG,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
61,0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
62,1215-FIGMP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
63,0526-SXDJP,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
64,0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No
65,5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
66,5122-CYFXA,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
67,8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
68,3410-YOQBQ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
69,3170-NMYVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
70,7410-OIEDU,Yes,No,Fiber optic,Yes,No,Yes,No,No,No
71,2273-QCKXA,Yes,No,DSL,No,No,No,Yes,No,No
72,0731-EBJQB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
73,1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
